四半期デフレーター季節調整系列,,,,,,,,,,,,,,,<参考>,,,,,,,,,,,(2015暦年＝100),,,,,,
"Deflators, Seasonally Adjusted Series",,,,,,,,,,,,,,,<cf>, ,,,,,,,,,,(Calendar Year of 2015 = 100),,,,,,
,国内総生産(支出側),民間最終消費支出,,,民間住宅,民間企業設備,民間在庫変動,政府最終消費支出,公的固定資本形成,公的在庫変動,財貨・サービス,,,,海外からの所得,,,国民総所得,,国内需要,民間需要,公的需要,,総固定資本形成,,最終需要,,,,,,
,,,家計最終消費支出,,,,,,,,純輸出,輸出,輸入,,純受取,受取,支払,,,,,,,,,,,,,,,
,,,,除く持ち家の帰属家賃,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,GDP(Expenditure Approach),PrivateConsumption,Consumption ofHouseholds,ExcludingImputed Rent,PrivateResidentialInvestment,Private Non-Resi.Investment,Changein PrivateInventories,GovernmentConsumption,PublicInvestment,Changein PublicInventories,Goods & Services,,,,Income from /to the Rest of the World,,,GNI,,DomesticDemand,PrivateDemand,PublicDemand,,Gross Fixed CapitalFormation,,Final Sales of Domestic Product,,,,,,
,,,,,,,,,,,Net Exports,Exports,Imports,,Net,Receipt,Payment,,,,,,,,,,,,,,,
1980/ 1- 3.,91.2 ,83.1 ,82.9 ,87.1 ,71.8 ,115.2 ,***,80.2 ,80.9 ,***,***,176.6 ,148.6 ,,***,87.1 ,87.1 ,90.0 ,,87.3 ,89.0 ,81.8 ,,97.3 ,,91.0 ,,,,,,
4- 6.,93.4 ,84.6 ,84.5 ,88.8 ,74.8 ,117.5 ,***,81.1 ,83.7 ,***,***,176.7 ,147.3 ,,***,89.1 ,89.1 ,92.1 ,,89.3 ,91.1 ,83.5 ,,100.2 ,,93.1 ,,,,,,
7- 9.,94.4 ,85.7 ,85.5 ,90.0 ,73.5 ,119.1 ,***,82.2 ,84.7 ,***,***,173.7 ,142.8 ,,***,90.2 ,90.2 ,93.0 ,,90.0 ,91.6 ,84.8 ,,100.8 ,,94.3 ,,,,,,
10-12.,95.4 ,86.6 ,86.5 ,90.9 ,72.8 ,119.2 ,***,84.7 ,84.6 ,***,***,173.2 ,142.4 ,,***,90.8 ,90.8 ,93.9 ,,90.9 ,92.3 ,86.4 ,,100.6 ,,95.1 ,,,,,,
1981/ 1- 3.,95.6 ,87.6 ,87.5 ,92.0 ,72.7 ,119.9 ,***,83.0 ,84.8 ,***,***,174.4 ,142.5 ,,***,91.1 ,91.0 ,94.1 ,,91.1 ,92.9 ,85.1 ,,100.9 ,,95.6 ,,,,,,
4- 6.,96.0 ,87.9 ,87.8 ,92.3 ,73.3 ,119.6 ,***,82.9 ,85.2 ,***,***,177.7 ,147.2 ,,***,91.5 ,91.5 ,94.6 ,,91.7 ,93.7 ,85.1 ,,101.1 ,,95.6 ,,,,,,
